instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_lateral_retail_value,new_lateral_scrap_value,new_edge_trim_value,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value,total_strip_produced_value,retails_generated_count,retails_generated_value
bz_nbr7008_043,period_5,5,21,1070988.88,1001421.81,3307.71,7.64,428.2,50717.46,13305.9,37411.56,9784.27,5321.69,1,12,11,74354.97,47830.39,26524.59,1049252.19,7,21935.29
bz_nbr7008_075,period_1,1,6,216921.02,192612.53,1833.37,8.41,179.67,8804.05,8667.17,136.88,2054.97,11428.07,1,0,0,0.0,0.0,0.0,192612.53,8,21928.61
bz_nbr7008_075,period_2,2,5,179734.04,153514.74,614.89,0.0,149.25,6250.5,6092.25,158.25,1621.52,17583.09,2,8,8,21928.61,13031.81,8896.8,166546.55,6,24290.23
bz_nbr7008_075,period_3,3,5,187158.95,174678.67,3620.05,0.0,150.48,6838.08,6679.83,158.25,1871.61,0.0,0,6,6,24290.23,19933.24,4356.99,194611.92,8,10299.88
bz_nbr7008_075,period_4,4,5,185242.25,150014.27,6844.61,0.0,147.86,10426.91,10328.96,97.95,1691.24,16117.24,1,8,8,10299.88,6607.91,3691.97,156622.18,7,33290.81
bz_nbr7008_075,period_5,5,6,220220.02,195671.67,1300.9,4.93,180.53,8395.01,8226.16,168.85,2076.34,12590.54,1,7,7,33290.81,27352.85,5937.97,223024.52,6,22117.6
bz_nbr7008_095,period_1,1,6,320030.43,292911.56,2028.86,0.0,222.45,21667.23,21667.23,0.0,3200.33,0.0,0,0,0,0.0,0.0,0.0,292911.56,8,23696.08
bz_nbr7008_095,period_2,2,6,303415.78,261751.49,3903.89,0.0,222.45,20834.9,20834.9,0.0,2896.09,13806.94,1,8,8,23696.08,18315.41,5380.68,280066.9,7,38545.74
bz_nbr7008_095,period_3,3,7,358346.62,323071.2,1527.5,0.0,262.67,20725.95,18892.1,1833.85,3490.76,9268.5,1,7,7,38545.74,32952.35,5593.39,356023.55,6,29688.1
bz_nbr7008_095,period_4,4,5,248862.12,229871.24,2406.97,0.0,188.46,13906.69,12072.85,1833.85,2488.64,0.0,0,6,6,29688.1,25661.29,4026.81,255532.54,6,14479.82
bz_nbr7008_095,period_5,5,6,331912.49,314766.93,2243.14,0.0,231.33,11351.91,9678.71,1673.2,3319.13,0.0,0,6,6,14479.82,12687.65,1792.17,327454.58,4,11921.84
