instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_lateral_retail_value,new_lateral_scrap_value,new_edge_trim_value,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value,total_strip_produced_value,retails_generated_count,retails_generated_value
bf_sae1006_050,period_4,4,3,131588.05,115313.95,1794.09,0.0,65.18,13318.26,13318.26,0.0,1096.52,0.0,0,3,3,6974.63,6444.24,530.39,121758.19,5,15112.36
bf_sae1006_050,period_5,5,4,188200.81,177813.75,6605.8,0.0,95.65,2117.26,0.0,2117.26,1568.28,0.0,0,5,5,15112.36,13345.53,1766.82,191159.28,5,6605.75
bz_nbr7008_043,period_1,1,18,874419.56,811243.62,17338.09,114.26,340.0,36920.73,8756.06,28164.67,8462.57,0.0,0,0,0,0.0,0.0,0.0,811243.62,7,26094.15
bz_nbr7008_043,period_2,2,18,796389.91,741101.48,6385.03,109.83,361.65,41130.35,0.0,41130.35,7301.34,0.0,0,7,7,26094.15,22469.92,3624.23,763571.4,7,6385.09
bz_nbr7008_043,period_3,3,19,893922.88,822615.32,6110.86,54.03,368.76,37446.77,0.0,37446.77,8381.4,18945.4,1,7,7,6385.09,6313.41,71.67,828928.73,9,25056.26
bz_nbr7008_043,period_4,4,15,689904.93,634492.66,14484.59,0.0,295.61,27446.9,0.0,27446.9,6442.68,6742.25,1,9,9,25056.26,24613.24,443.02,659105.89,9,21226.84
bz_nbr7008_043,period_5,5,23,1093588.73,1016508.31,12311.64,0.0,440.23,44441.62,3060.03,41381.59,10426.96,9459.8,1,9,9,21226.84,20036.01,1190.84,1036544.32,9,24831.48
bz_nbr7008_075,period_1,1,6,215298.54,192612.53,3653.41,0.0,179.67,8804.26,8663.69,140.58,2073.29,7975.54,1,0,0,0.0,0.0,0.0,192612.53,11,20292.63
bz_nbr7008_075,period_2,2,5,179048.78,153442.87,0.0,33.2,149.25,6250.61,6093.75,156.86,1614.93,17557.81,2,11,11,20292.63,13103.73,7188.9,166546.6,5,23651.56
bz_nbr7008_075,period_3,3,5,187330.58,175274.13,3169.19,37.33,150.48,6826.03,6667.03,159.0,1873.32,0.0,0,5,5,23651.56,19337.84,4313.72,194611.97,6,9836.22
bz_nbr7008_075,period_4,4,5,180099.48,150436.59,17226.16,0.0,147.86,10487.85,10388.13,99.71,1801.03,0.0,0,6,6,9836.22,6185.59,3650.63,156622.18,7,27614.29
bz_nbr7008_075,period_5,5,6,230211.7,201202.26,18145.28,0.0,180.53,8381.52,8180.96,200.55,2302.12,0.0,0,7,7,27614.29,21822.26,5792.04,223024.52,6,26326.24
bz_nbr7008_095,period_1,1,6,305604.03,292911.62,4040.66,0.0,235.77,5359.84,0.0,5359.84,3056.09,0.0,0,0,0,0.0,0.0,0.0,292911.62,4,4040.66
bz_nbr7008_095,period_2,2,6,303415.78,276074.52,1363.61,0.0,235.77,5149.08,0.0,5149.08,2856.8,17735.9,2,4,4,4040.66,3992.33,48.33,280066.85,4,19099.51
bz_nbr7008_095,period_3,3,7,358106.31,337251.76,5784.34,0.0,271.54,11217.46,7875.33,3342.13,3581.09,0.0,0,4,4,19099.51,18771.78,327.72,356023.55,4,13659.67
bz_nbr7008_095,period_4,4,5,254454.59,244415.85,3772.48,0.0,197.34,3524.37,0.0,3524.37,2544.61,0.0,0,4,4,13659.67,11116.79,2542.88,255532.64,7,3772.53
bz_nbr7008_095,period_5,5,6,336635.83,323773.73,3477.12,0.0,235.77,5782.77,0.0,5782.77,3366.33,0.0,0,7,7,3772.53,3680.84,91.69,327454.58,3,3477.17
