scenario,instance,objective,configuration,retail_y_coefficient,retail_v_coefficient,rolled_leftover_coefficient,period,period_number,new_coils_used_count,new_coils_weight,new_coils_value,new_strip_produced_weight,new_strip_produced_value,new_strip_retail_weight,new_strip_retail_value,new_strip_scrap_weight,new_strip_scrap_value,new_strip_loss_weight,new_strip_loss_value,new_lateral_leftover_weight,new_lateral_leftover_value,new_lateral_retail_weight,new_lateral_retail_value,new_lateral_scrap_weight,new_lateral_scrap_value,new_edge_trim_weight,new_edge_trim_value,new_rolled_leftover_weight,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_coils_value,processed_strip_produced_weight,processed_strip_produced_value,processed_scrap_weight,processed_scrap_value,total_strip_produced_weight,total_strip_produced_value,retails_generated_count,retails_generated_weight,retails_generated_value,retails_file_exists,reusable_generated_weight,reusable_generated_value,total_scrap_weight,total_scrap_value,total_loss_weight,total_loss_value,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
NCV,bz_nbr7008_075,new_coils_value,default,,,,period_2,2,5,33382.51,178772.02,28620.59,153270.7,1927.38,10321.62,21.24,113.75,28.74,153.91,456.78,2446.18,0.0,0.0,456.78,2446.18,313.68,1679.84,2014.08,10785.92,1,6,6,3328.16,17823.16,2479.01,13275.74,849.15,4547.42,31099.6,166546.44,6,3941.46,21107.54,True,3941.46,21107.54,1669.59,8941.1,1669.59,8941.1,85.74,11.81,2.46,74.49,25.51,7.97
NCV,bz_nbr7008_075,new_coils_value,default,,,,period_3,3,5,34948.62,187158.95,33005.21,176751.48,1054.83,5648.89,0.0,0.0,28.78,154.12,510.31,2732.84,0.0,0.0,510.31,2732.84,349.49,1871.61,0.0,0.0,0,6,6,3941.46,21107.54,3335.16,17860.65,606.3,3246.89,36340.37,194612.13,4,1054.84,5648.94,True,1054.83,5648.89,1494.88,8005.46,1494.88,8005.46,94.44,3.02,2.54,84.62,15.38,9.18
NCV,bz_nbr7008_075,new_coils_value,default,,,,period_4,4,5,33630.39,180099.48,28449.43,152354.09,3157.81,16910.89,0.0,0.0,27.84,149.09,1659.01,8884.43,1639.79,8781.5,19.22,102.93,336.31,1801.03,0.0,0.0,0,4,4,1054.84,5648.94,797.0,4268.14,257.84,1380.8,29246.43,156622.24,6,4797.6,25692.4,True,4797.6,25692.39,641.21,3433.85,641.21,3433.85,84.59,14.27,1.14,75.56,24.44,2.73
NCV,bz_nbr7008_075,new_coils_value,default,,,,period_5,5,6,42554.62,227891.05,39473.1,211388.71,1306.85,6998.52,16.66,89.22,33.94,181.76,1298.51,6953.86,1054.58,5647.55,243.93,1306.31,425.55,2278.93,0.0,0.0,0,6,5,4797.6,25692.4,2172.77,11635.75,2624.83,14056.65,41645.87,223024.46,6,2361.43,12646.07,True,2361.43,12646.07,3344.91,17912.87,3344.91,17912.87,92.76,5.55,1.69,45.29,54.71,5.22
NCV,bz_nbr7008_095,new_coils_value,default,,,,period_1,1,6,56463.16,305604.03,54118.12,292911.62,725.44,3926.41,20.71,112.09,43.56,235.77,990.68,5362.01,0.0,0.0,990.68,5362.01,564.64,3056.09,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,54118.12,292911.62,4,725.44,3926.41,True,725.44,3926.41,1619.59,8765.96,1619.59,8765.96,95.85,1.28,2.87,0.0,0.0,0.0
NCV,bz_nbr7008_095,new_coils_value,default,,,,period_2,2,6,56058.86,303415.78,51052.35,276318.29,1795.81,9719.73,62.75,339.63,43.56,235.77,1063.44,5755.82,0.0,0.0,1063.44,5755.82,545.64,2953.25,1495.3,8093.24,1,4,4,725.44,3926.41,692.6,3748.66,32.84,177.74,51744.95,280066.95,4,3291.11,17812.97,True,3291.11,17812.97,1748.23,9462.21,1748.23,9462.21,91.07,5.87,3.06,95.47,4.53,1.34
NCV,bz_nbr7008_095,new_coils_value,default,,,,period_3,3,7,66163.44,358106.31,62870.94,340285.82,1757.62,9513.03,36.26,196.26,51.14,276.79,785.82,4253.21,0.0,0.0,785.82,4253.21,661.64,3581.09,0.0,0.0,0,4,4,3291.11,17812.97,2907.68,15737.67,383.43,2075.3,65778.62,356023.49,2,1757.62,9513.03,True,1757.62,9513.03,1918.29,10382.65,1918.29,10382.65,95.02,2.66,2.32,88.35,11.65,4.42
NCV,bz_nbr7008_095,new_coils_value,default,,,,period_4,4,5,47184.27,255382.5,45570.82,246649.78,347.04,1878.34,116.28,629.36,36.46,197.34,641.81,3473.76,0.0,0.0,641.81,3473.76,471.85,2553.86,0.0,0.0,0,2,2,1757.62,9513.03,1641.18,8882.8,116.44,630.23,47212.0,255532.59,2,347.04,1878.34,True,347.04,1878.34,1382.84,7484.55,1382.84,7484.55,96.58,0.74,2.68,93.38,6.62,3.48
NCV,bz_nbr7008_095,new_coils_value,default,,,,period_5,5,6,62196.57,336635.83,60158.19,325603.2,298.23,1614.15,14.0,75.77,43.56,235.77,1060.6,5740.44,0.0,0.0,1060.6,5740.44,621.96,3366.33,0.0,0.0,0,2,2,347.04,1878.34,342.08,1851.49,4.96,26.85,60500.27,327454.69,1,298.23,1614.15,True,298.23,1614.15,1745.08,9445.16,1745.08,9445.16,96.72,0.48,2.8,98.57,1.43,0.57
WL-y2-v2-r2,bf_qcv_045,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2,2,2,period_1,1,40,311349.96,1612615.2,304651.67,1577682.99,63.57,315.68,1.39,7.19,137.44,708.09,3307.77,17317.45,0.0,0.0,3307.77,17317.45,3188.12,16583.83,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,304651.67,1577682.99,3,63.57,315.68,True,63.57,315.68,6634.72,34616.56,6634.72,34616.56,97.85,0.02,2.13,0.0,0.0,0.0
