scenario,objective,configuration,retail_y_coefficient,retail_v_coefficient,rolled_leftover_coefficient,instance,new_coils_used_count,new_coils_weight,new_coils_value,new_strip_produced_weight,new_strip_produced_value,new_strip_retail_weight,new_strip_retail_value,new_strip_scrap_weight,new_strip_scrap_value,new_strip_loss_weight,new_strip_loss_value,new_lateral_leftover_weight,new_lateral_leftover_value,new_lateral_retail_weight,new_lateral_retail_value,new_lateral_scrap_weight,new_lateral_scrap_value,new_edge_trim_weight,new_edge_trim_value,new_rolled_leftover_weight,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_coils_value,processed_strip_produced_weight,processed_strip_produced_value,processed_scrap_weight,processed_scrap_value,total_strip_produced_weight,total_strip_produced_value,retails_generated_count,retails_generated_weight,retails_generated_value,reusable_generated_weight,reusable_generated_value,total_scrap_weight,total_scrap_value,total_loss_weight,total_loss_value,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate,new_coils_weight_baseline_ncv,new_coils_weight_diff_from_ncv,new_coils_weight_pct_diff_from_ncv,new_coils_value_baseline_ncv,new_coils_value_diff_from_ncv,new_coils_value_pct_diff_from_ncv,total_strip_produced_weight_baseline_ncv,total_strip_produced_weight_diff_from_ncv,total_strip_produced_weight_pct_diff_from_ncv,processed_strip_produced_weight_baseline_ncv,processed_strip_produced_weight_diff_from_ncv,processed_strip_produced_weight_pct_diff_from_ncv,reusable_generated_weight_baseline_ncv,reusable_generated_weight_diff_from_ncv,reusable_generated_weight_pct_diff_from_ncv,total_scrap_weight_baseline_ncv,total_scrap_weight_diff_from_ncv,total_scrap_weight_pct_diff_from_ncv,total_scrap_value_baseline_ncv,total_scrap_value_diff_from_ncv,total_scrap_value_pct_diff_from_ncv,total_loss_weight_baseline_ncv,total_loss_weight_diff_from_ncv,total_loss_weight_pct_diff_from_ncv,total_loss_value_baseline_ncv,total_loss_value_diff_from_ncv,total_loss_value_pct_diff_from_ncv,new_production_rate_baseline_ncv,new_production_rate_diff_from_ncv,new_production_rate_pct_diff_from_ncv,new_reusable_rate_baseline_ncv,new_reusable_rate_diff_from_ncv,new_reusable_rate_pct_diff_from_ncv,new_scrap_rate_baseline_ncv,new_scrap_rate_diff_from_ncv,new_scrap_rate_pct_diff_from_ncv,processed_recovery_rate_baseline_ncv,processed_recovery_rate_diff_from_ncv,processed_recovery_rate_pct_diff_from_ncv,reuse_dependency_rate_baseline_ncv,reuse_dependency_rate_diff_from_ncv,reuse_dependency_rate_pct_diff_from_ncv
WL-y4-v2-r2,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_2,4.0,2.0,2.0,bz_nbr7008_043,92,758710.61,4347798.220000001,697080.53,3995438.45,14134.849999999999,80833.22,71.47,390.6,305.27,1749.4,29442.14,168388.03,3248.8199999999997,17755.52,26193.32,150632.52,7263.3,41488.54,10412.89,59509.09,7,38,38,17256.97,98859.67,15418.21,88689.48,1838.7599999999998,10170.18,712498.74,4084127.9400000004,51,27796.559999999998,158097.83000000002,27796.56,158097.83,35672.12,204431.24,35672.12,204431.24,91.88,3.66,4.46,89.34,10.66,2.16,753878.7,4831.910000000033,0.64,4308626.98,39171.24000000022,0.91,712498.64,0.09999999997671694,0.0,10167.89,5250.32,51.64,13525.83,14270.730000000001,105.51,39391.83,-3719.709999999999,-9.44,225743.08,-21311.839999999997,-9.44,39391.83,-3719.709999999999,-9.44,225743.08,-21311.839999999997,-9.44,93.16,-1.2800000000000011,-1.37,1.79,1.87,104.47,5.04,-0.5800000000000001,-11.51,88.13,1.210000000000008,1.37,1.43,0.7300000000000002,51.05
WL-y4-v2-r2,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_2,4.0,2.0,2.0,bz_nbr7008_075,28,188791.91,1011029.76,161737.01,866143.75,11095.32,59418.32000000001,0.0,0.0,158.5,848.81,5403.7699999999995,28938.579999999998,4889.8,26186.15,513.97,2752.44,1801.99,9650.14,8595.33,46030.23,4,35,35,17283.03,92555.12,12562.25,67274.11,4720.78,25281.01,174299.26,933417.87,44,24580.440000000002,131634.65,24580.45,131634.7,7195.24,38532.4,7195.24,38532.4,85.67,13.02,1.31,72.69,27.31,7.21,184719.33000000002,4072.579999999987,2.2,989220.04,21809.719999999972,2.2,174299.23,0.029999999998835847,0.0,8783.94,3778.3099999999995,43.01,15483.48,9096.970000000001,58.75,8058.65,-863.4099999999999,-10.71,43156.18,-4623.779999999999,-10.71,8058.65,-863.4099999999999,-10.71,43156.18,-4623.779999999999,-10.71,89.6,-3.9299999999999926,-4.39,8.38,4.639999999999999,55.37,2.01,-0.6999999999999997,-34.83,66.94,5.75,8.59,5.04,2.17,43.06
WL-y4-v2-r2,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_2,4.0,2.0,2.0,bz_nbr7008_095,30,287722.33,1557282.73,272280.49,1473704.54,2648.85,14336.77,0.0,0.0,218.13,1180.63,4671.49,25284.2,0.0,0.0,4671.49,25284.2,2826.4700000000003,15298.14,5076.8099999999995,27477.98,3,17,17,7244.09,39208.270000000004,7073.41,38284.47,170.68,923.79,279353.9,1511989.02,28,7725.66,41814.74,7725.66,41814.75,7886.77,42686.76,7886.77,42686.76,94.63,2.69,2.68,97.64,2.36,2.53,288066.3,-343.96999999997206,-0.12,1559144.4500000002,-1861.720000000205,-0.12,279353.96,-0.059999999997671694,-0.0,5583.54,1489.87,26.68,6419.44,1306.2200000000003,20.35,8414.03,-527.2600000000002,-6.27,45540.53,-2853.769999999997,-6.27,8414.03,-527.2600000000002,-6.27,45540.53,-2853.769999999997,-6.27,95.04,-0.4100000000000108,-0.43,2.23,0.45999999999999996,20.63,2.73,-0.04999999999999982,-1.83,91.22,6.420000000000002,7.04,2.0,0.5299999999999998,26.5
WL-y4-v2-r4,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_4,4.0,2.0,4.0,bf_qcv_045,199,1550755.9100000001,8026587.8,1517798.28,7854821.609999999,120.13,611.47,15.77,79.58,686.4,3532.19,16286.55,85149.86,0.0,0.0,16286.55,85149.86,15848.8,82393.25,0.0,0.0,0,7,6,95.19,486.22,84.63,432.27,10.56,53.95,1517882.91,7855253.88,10,120.13,611.47,120.13,611.47,32848.08,171208.83,32848.08,171208.83,97.87,0.01,2.12,88.91,11.09,0.01,1551189.35,-433.4399999999441,-0.03,8028839.890000001,-2252.0900000007823,-0.03,1517883.0499999998,-0.13999999989755452,-0.0,30.18,54.449999999999996,180.42,33.58,86.55,257.74,33306.51,-458.4300000000003,-1.38,173535.82,-2326.99000000002,-1.34,33306.51,-458.4300000000003,-1.38,173535.82,-2326.99000000002,-1.34,97.85,0.020000000000010232,0.02,0.0,0.01,0.0,2.15,-0.029999999999999805,-1.4,89.87,-0.960000000000008,-1.07,0.0,0.01,0.0
WL-y4-v2-r4,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_4,4.0,2.0,4.0,bf_sae1006_045,248,2016641.23,10310160.68,1947873.3,9959505.33,12370.38,61804.6,27.15,135.96,839.97,4285.69,35475.2,181744.75,0.0,0.0,35475.2,181744.75,20054.73,102681.77,0.0,0.0,0,29,29,9129.23,45700.4,8942.96,44776.24,186.26999999999998,924.16,1956816.26,10004281.57,38,12370.380000000001,61804.600000000006,12370.38,61804.6,56583.32,289772.33,56583.32,289772.33,96.59,0.61,2.8,97.96,2.04,0.46,2021416.46,-4775.229999999981,-0.24,10276180.28,33980.40000000037,0.33,1956816.27,-0.010000000009313226,-0.0,3934.82,5008.139999999999,127.28,5402.71,6967.669999999999,128.97,63261.18,-6677.860000000001,-10.56,321531.17,-31758.839999999967,-9.88,63261.18,-6677.860000000001,-10.56,321531.17,-31758.839999999967,-9.88,96.61,-0.01999999999999602,-0.02,0.27,0.33999999999999997,125.93,3.12,-0.3200000000000003,-10.26,96.82,1.1400000000000006,1.18,0.2,0.26,130.0
WL-y4-v2-r4,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_4,4.0,2.0,4.0,bf_sae1006_050,17,147267.63,760628.46,126830.86000000002,655073.79,17369.91,89714.53,0.0,0.0,78.65,406.22,1760.97,9095.310000000001,0.0,0.0,1760.97,9095.310000000001,1227.18,6338.32,0.0,0.0,0,17,17,16327.98,84333.04000000001,16051.130000000001,82903.12,276.85,1429.92,142881.99,737976.9,19,17369.9,89714.49,17369.91,89714.53,3343.65,17269.77,3343.65,17269.77,86.12,11.79,2.08,98.3,1.7,11.23,155518.83000000002,-8251.200000000012,-5.31,803245.4199999999,-42616.95999999996,-5.31,142882.04,-0.0500000000174623,-0.0,12614.259999999998,3436.8700000000026,27.25,22706.07,-5336.16,-23.5,5474.06,-2130.4100000000003,-38.92,28273.17,-11003.399999999998,-38.92,5474.06,-2130.4100000000003,-38.92,28273.17,-11003.399999999998,-38.92,83.76,2.3599999999999994,2.82,14.6,-2.8100000000000005,-19.25,1.64,0.44000000000000017,26.83,81.15,17.14999999999999,21.13,8.83,2.4000000000000004,27.18
WL-y4-v2-r4,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_4,4.0,2.0,4.0,bz_nbr7008_043,92,753060.36,4335928.23,693693.44,3993939.61,21069.21,121574.87000000001,94.91999999999999,548.78,311.29999999999995,1793.15,30720.170000000002,176932.66,3079.23,16828.66,27640.940000000002,160104.0,7171.17,41138.29,0.0,0.0,0,37,37,19764.23,113486.3,18805.22,108154.7,959.0100000000001,5331.6,712498.66,4102094.31,46,24148.45,138403.61000000002,24148.44,138403.53,36177.34,208915.82,36177.34,208915.82,92.12,3.21,4.68,95.15,4.85,2.64,753878.7,-818.3399999999674,-0.11,4308626.98,27301.25,0.63,712498.64,0.02000000001862645,0.0,10167.89,8637.330000000002,84.95,13525.83,10622.609999999999,78.54,39391.83,-3214.4900000000052,-8.16,225743.08,-16827.25999999998,-7.45,39391.83,-3214.4900000000052,-8.16,225743.08,-16827.25999999998,-7.45,93.16,-1.039999999999992,-1.12,1.79,1.42,79.33,5.04,-0.3600000000000003,-7.14,88.13,7.02000000000001,7.97,1.43,1.2100000000000002,84.62
WL-y4-v2-r4,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_4,4.0,2.0,4.0,bz_nbr7008_075,28,192340.72,1030034.5700000001,160363.54,858788.45,24333.55,130312.49,5.13,27.47,158.8,850.4200000000001,5556.23,29755.059999999998,4903.49,26259.46,652.74,3495.58,1923.44,10300.53,0.0,0.0,0,45,45,21696.13,116188.43,13935.650000000001,74629.03,7760.48,41559.39,174299.19,933417.49,55,29237.07,156572.12,29237.04,156571.95,10500.59,56233.39,10500.59,56233.39,83.37,15.2,1.42,64.23,35.77,8.0,184719.33000000002,7621.389999999985,4.13,989220.04,40814.53000000003,4.13,174299.23,-0.04000000000814907,-0.0,8783.94,5151.710000000001,58.65,15483.48,13753.560000000001,88.83,8058.65,2441.9400000000005,30.3,43156.18,13077.21,30.3,8058.65,2441.9400000000005,30.3,43156.18,13077.21,30.3,89.6,-6.22999999999999,-6.95,8.38,6.8199999999999985,81.38,2.01,-0.5899999999999999,-29.35,66.94,-2.7099999999999937,-4.05,5.04,2.96,58.73
WL-y4-v2-r4,weighted_loss,retail_y_4__retail_v_2__rolled_leftover_4,4.0,2.0,4.0,bz_nbr7008_095,30,287310.7,1555054.8,272392.34,1474309.92,7130.530000000001,38593.64,22.51,121.83,218.13,1180.63,4673.98,25297.68,0.0,0.0,4673.98,25297.68,2873.13,15550.68,0.0,0.0,0,20,20,7073.71,38286.1,6961.570000000001,37679.15,112.14,606.95,279353.91000000003,1511989.06,22,7130.530000000001,38593.64,7130.53,38593.64,7899.89,42757.77,7899.89,42757.77,94.81,2.48,2.71,98.41,1.59,2.49,288066.3,-755.5999999999767,-0.26,1559144.4500000002,-4089.6500000001397,-0.26,279353.96,-0.04999999998835847,-0.0,5583.54,1378.0300000000007,24.68,6419.44,711.0900000000001,11.08,8414.03,-514.1400000000003,-6.11,45540.53,-2782.760000000002,-6.11,8414.03,-514.1400000000003,-6.11,45540.53,-2782.760000000002,-6.11,95.04,-0.23000000000000398,-0.24,2.23,0.25,11.21,2.73,-0.020000000000000018,-0.73,91.22,7.189999999999998,7.88,2.0,0.4900000000000002,24.5
WL-y4-v4-r2,weighted_loss,retail_y_4__retail_v_4__rolled_leftover_2,4.0,4.0,2.0,bf_qcv_045,200,1550482.9,8025187.51,1517712.3399999999,7854373.49,214.76,1068.8,31.369999999999997,161.44,689.59,3549.0600000000004,15985.87,83640.18,0.0,0.0,15985.87,83640.18,15849.189999999999,82395.78,0.0,0.0,0,5,5,182.10999999999999,900.1,170.68,842.79,11.43,57.31,1517883.02,7855216.28,8,214.76,1068.8,214.76,1068.8,32567.45,169803.77,32567.45,169803.77,97.89,0.01,2.1,93.72,6.28,0.01,1551189.35,-706.4500000001863,-0.05,8028839.890000001,-3652.3800000008196,-0.05,1517883.0499999998,-0.029999999795109034,-0.0,30.18,140.5,465.54,33.58,181.18,539.55,33306.51,-739.0600000000013,-2.22,173535.82,-3732.0500000000175,-2.15,33306.51,-739.0600000000013,-2.22,173535.82,-3732.0500000000175,-2.15,97.85,0.04000000000000625,0.04,0.0,0.01,0.0,2.15,-0.04999999999999982,-2.33,89.87,3.8499999999999943,4.28,0.0,0.01,0.0
WL-y4-v4-r2,weighted_loss,retail_y_4__retail_v_4__rolled_leftover_2,4.0,4.0,2.0,bf_sae1006_045,249,2020416.88,10291200.46,1947600.44,9921332.07,4363.6900000000005,21813.43,34.88,174.41000000000003,862.6800000000001,4386.1,38851.0,197683.81,0.0,0.0,38851.0,197683.81,19561.53,99791.48,9142.57,46018.64,5,23,23,9961.92,50287.869999999995,9215.85,46525.159999999996,746.07,3762.7200000000003,1956816.29,9967857.23,31,13506.26,67832.07,13506.26,67832.07,60056.16,305798.52,60056.16,305798.52,96.4,0.67,2.94,92.51,7.49,0.47,2021416.46,-999.5800000000745,-0.05,10276180.28,15020.180000001565,0.15,1956816.27,0.02000000001862645,0.0,3934.82,5281.030000000001,134.21,5402.71,8103.55,149.99,63261.18,-3205.019999999997,-5.07,321531.17,-15732.649999999965,-4.89,63261.18,-3205.019999999997,-5.07,321531.17,-15732.649999999965,-4.89,96.61,-0.20999999999999375,-0.22,0.27,0.4,148.15,3.12,-0.18000000000000016,-5.77,96.82,-4.309999999999988,-4.45,0.2,0.26999999999999996,135.0
WL-y4-v4-r2,weighted_loss,retail_y_4__retail_v_4__rolled_leftover_2,4.0,4.0,2.0,bf_sae1006_050,17,146628.02,757324.9099999999,126981.17,655850.13,607.02,3135.22,0.0,0.0,78.62,406.07,1542.28,7965.78,0.0,0.0,1542.28,7965.78,1085.78,5607.99,16333.14,84359.68,6,8,8,16616.239999999998,85821.88,15900.85,82126.94,715.39,3694.96,142882.02000000002,737977.06,10,16940.16,87494.91,16940.16,87494.9,3422.07,17674.8,3422.07,17674.8,86.6,11.55,1.85,95.69,4.31,11.13,155518.83000000002,-8890.810000000027,-5.72,803245.4199999999,-45920.51000000001,-5.72,142882.04,-0.01999999998952262,-0.0,12614.259999999998,3286.590000000002,26.05,22706.07,-5765.91,-25.39,5474.06,-2051.9900000000002,-37.49,28273.17,-10598.369999999999,-37.49,5474.06,-2051.9900000000002,-37.49,28273.17,-10598.369999999999,-37.49,83.76,2.839999999999989,3.39,14.6,-3.049999999999999,-20.89,1.64,0.2100000000000002,12.8,81.15,14.539999999999992,17.92,8.83,2.3000000000000007,26.05
WL-y4-v4-r2,weighted_loss,retail_y_4__retail_v_4__rolled_leftover_2,4.0,4.0,2.0,bz_nbr7008_043,93,753583.35,4331725.76,685923.59,3943911.98,6283.71,35896.22,10.37,59.519999999999996,310.45,1786.67,34156.79,195125.6,8188.3,45030.119999999995,25968.489999999998,150095.47999999998,7029.74,40251.69,19868.64,114693.77,15,43,43,31184.09,177794.53,26575.12,152299.15,4608.97,25495.39,712498.71,4096211.13,52,34340.65,195620.09,34340.65,195620.11,37928.02,217688.75,37928.02,217688.75,91.02,4.56,4.42,85.22,14.78,3.73,753878.7,-295.3499999999767,-0.04,4308626.98,23098.77999999933,0.54,712498.64,0.06999999994877726,0.0,10167.89,16407.23,161.36,13525.83,20814.82,153.89,39391.83,-1463.810000000005,-3.72,225743.08,-8054.329999999987,-3.57,39391.83,-1463.810000000005,-3.72,225743.08,-8054.329999999987,-3.57,93.16,-2.1400000000000006,-2.3,1.79,2.7699999999999996,154.75,5.04,-0.6200000000000001,-12.3,88.13,-2.9099999999999966,-3.3,1.43,2.3,160.84
WL-y4-v4-r2,weighted_loss,retail_y_4__retail_v_4__rolled_leftover_2,4.0,4.0,2.0,bz_nbr7008_075,27,184729.83000000002,989276.28,161752.74,866227.97,2614.79,14002.88,2.49,13.34,150.84,807.79,7602.63,40714.06,7468.24,39994.369999999995,134.39,719.7,1738.64,9310.869999999999,10867.66,58199.15,5,29,29,16804.170000000002,89990.70000000001,12546.509999999998,67189.82,4257.66,22800.879999999997,174299.25,933417.8,35,20950.690000000002,112196.39,20950.69,112196.4,6284.02,33652.58,6284.02,33652.58,87.56,11.34,1.1,74.66,25.34,7.2,184719.33000000002,10.5,0.01,989220.04,56.23999999999069,0.01,174299.23,0.01999999998952262,0.0,8783.94,3762.569999999998,42.83,15483.48,5467.209999999999,35.31,8058.65,-1774.6299999999992,-22.02,43156.18,-9503.599999999999,-22.02,8058.65,-1774.6299999999992,-22.02,43156.18,-9503.599999999999,-22.02,89.6,-2.039999999999992,-2.28,8.38,2.959999999999999,35.32,2.01,-0.9099999999999997,-45.27,66.94,7.719999999999999,11.53,5.04,2.16,42.86
WL-y4-v4-r2,weighted_loss,retail_y_4__retail_v_4__rolled_leftover_2,4.0,4.0,2.0,bz_nbr7008_095,30,287582.0,1556523.2000000002,272902.16,1477069.29,1557.71,8431.02,0.0,0.0,218.13,1180.63,4580.6,24792.27,0.0,0.0,4580.6,24792.27,2820.81,15267.5,5502.51,29782.059999999998,3,20,20,6718.740000000001,36364.85,6451.7300000000005,34919.67,267.01,1445.18,279353.89,1511988.96,24,7060.2300000000005,38213.15,7060.22,38213.08,7886.55,42685.58,7886.55,42685.58,94.9,2.46,2.65,96.03,3.97,2.31,288066.3,-484.29999999998836,-0.17,1559144.4500000002,-2621.25,-0.17,279353.96,-0.07000000000698492,-0.0,5583.54,868.1900000000005,15.55,6419.44,640.7800000000007,9.98,8414.03,-527.4800000000005,-6.27,45540.53,-2854.949999999997,-6.27,8414.03,-527.4800000000005,-6.27,45540.53,-2854.949999999997,-6.27,95.04,-0.14000000000000057,-0.15,2.23,0.22999999999999998,10.31,2.73,-0.08000000000000007,-2.93,91.22,4.810000000000002,5.27,2.0,0.31000000000000005,15.5
WL-y4-v4-r4,weighted_loss,retail_y_4__retail_v_4__rolled_leftover_4,4.0,4.0,4.0,bf_qcv_045,197,1550997.5,8027850.779999999,1517816.81,7854974.59,87.14,436.68,20.72,105.02,680.15,3499.1,16544.04,86443.26,0.0,0.0,16544.04,86443.26,15848.720000000001,82392.62,0.0,0.0,0,7,6,77.57,386.07,66.22,329.13,11.350000000000001,56.94,1517883.0299999998,7855303.73,9,87.14,436.68,87.14,436.68,33104.98,172496.94,33104.98,172496.94,97.86,0.01,2.13,85.37,14.63,0.0,1551189.35,-191.85000000009313,-0.01,8028839.890000001,-989.1100000012666,-0.01,1517883.0499999998,-0.02000000001862645,-0.0,30.18,36.04,119.42,33.58,53.56,159.5,33306.51,-201.52999999999884,-0.61,173535.82,-1038.8800000000047,-0.6,33306.51,-201.52999999999884,-0.61,173535.82,-1038.8800000000047,-0.6,97.85,0.010000000000005116,0.01,0.0,0.01,0.0,2.15,-0.020000000000000018,-0.93,89.87,-4.5,-5.01,0.0,0.0,0.0
