
Gurobi 13.0.2 (linux64, Python) logging started Sat Aug 22 12:22:36 2026

Set parameter LogToConsole to value 0
Set parameter Username
Set parameter LicenseID to value 2748191
Set parameter TimeLimit to value 120
Set parameter LogFile to value "output/bf_qcv_045/weighted_loss/retail_y_2__retail_v_2__retail_v_2__rolled_leftover_2/period_2/gurobi.log"
Academic license - for non-commercial use only - expires 2026-12-01
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: 13th Gen Intel(R) Core(TM) i7-13700HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 24 threads

Non-default parameters:
TimeLimit  120
LogToConsole  0

Optimize a model with 62981 rows, 50385 columns and 167574 nonzeros (Min)
Model fingerprint: 0x84fe2fe2
Model has 20430 linear objective coefficients and an objective constant of 2557.6430168
Variable types: 40614 continuous, 9771 integer (9771 binary)
Coefficient statistics:
  Matrix range     [7e-03, 1e+04]
  Objective range  [1e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-01, 8e+04]

Presolve removed 45192 rows and 36152 columns
Presolve time: 0.32s
Presolved: 17789 rows, 14233 columns, 75130 nonzeros
Variable types: 9404 continuous, 4829 integer (4829 binary)
Found heuristic solution: objective 1.817996e+07
Found heuristic solution: objective 4988801.1584

Root relaxation: objective 1.567481e+06, 11914 iterations, 0.89 seconds (0.96 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1584284.66    0  183 1662247.56 1584284.66  4.69%     -   11s
     0     0 1584383.49    0  187 1662247.56 1584383.49  4.68%     -   11s
     0     0 1584425.30    0  189 1662247.56 1584425.30  4.68%     -   11s
     0     0 1584425.67    0  182 1662247.56 1584425.67  4.68%     -   11s
     0     0 1584583.11    0  219 1662247.56 1584583.11  4.67%     -   11s
H    0     0                    1661647.5848 1584583.31  4.64%     -   12s
H    0     0                    1661441.4954 1584583.31  4.63%     -   13s
     0     0 1584677.39    0  209 1661441.50 1584677.39  4.62%     -   13s
     0     0 1584693.52    0  210 1661441.50 1584693.52  4.62%     -   13s
     0     0 1584694.77    0  214 1661441.50 1584694.77  4.62%     -   13s
     0     0 1585067.54    0  190 1661441.50 1585067.54  4.60%     -   13s
     0     0 1585220.99    0  194 1661441.50 1585220.99  4.59%     -   13s
     0     0 1585267.04    0  200 1661441.50 1585267.04  4.58%     -   13s
     0     0 1585274.14    0  199 1661441.50 1585274.14  4.58%     -   13s
     0     0 1585860.39    0  219 1661441.50 1585860.39  4.55%     -   13s
     0     0 1586009.66    0  212 1661441.50 1586009.66  4.54%     -   13s
     0     0 1586043.13    0  223 1661441.50 1586043.13  4.54%     -   13s
     0     0 1586047.18    0  225 1661441.50 1586047.18  4.54%     -   13s
     0     0 1586733.71    0  215 1661441.50 1586733.71  4.50%     -   14s
     0     0 1586974.21    0  209 1661441.50 1586974.21  4.48%     -   14s
     0     0 1587011.86    0  211 1661441.50 1587011.86  4.48%     -   14s
     0     0 1587013.99    0  213 1661441.50 1587013.99  4.48%     -   14s
     0     0 1587503.74    0  222 1661441.50 1587503.74  4.45%     -   14s
     0     0 1587558.39    0  223 1661441.50 1587558.39  4.45%     -   14s
     0     0 1587576.24    0  207 1661441.50 1587576.24  4.45%     -   14s
     0     0 1587580.65    0  208 1661441.50 1587580.65  4.45%     -   14s
     0     0 1587798.86    0  206 1661441.50 1587798.86  4.43%     -   14s
     0     0 1587824.47    0  217 1661441.50 1587824.47  4.43%     -   14s
     0     0 1587824.47    0  220 1661441.50 1587824.47  4.43%     -   14s
     0     0 1588035.46    0  215 1661441.50 1588035.46  4.42%     -   14s
     0     0 1588071.48    0  219 1661441.50 1588071.48  4.42%     -   14s
     0     0 1588091.03    0  225 1661441.50 1588091.03  4.41%     -   14s
